permno,ticker,date,price,ret,market_cap,eps,eps_date,eps_announced,trailing_pe,expected_eps,median_eps,num_analysts,forecast_date,forward_pe
80100,SPG,2018-08-31,183.03,0.050054,56594706.3,2.05,2006-12-31,2007-02-12,89.2829268292683,1.88,1.88,1.0,2003-05-15,97.35638297872342
80100,SPG,2018-09-28,176.75,-0.034311,54652867.5,2.05,2006-12-31,2007-02-12,86.21951219512196,1.88,1.88,1.0,2003-05-15,94.01595744680851
80100,SPG,2018-10-31,183.52,0.038303,58802010.24,2.05,2006-12-31,2007-02-12,89.5219512195122,1.88,1.88,1.0,2003-05-15,97.61702127659575
80100,SPG,2018-11-30,185.69,0.022722,57433174.24,2.05,2006-12-31,2007-02-12,90.58048780487806,1.88,1.88,1.0,2003-05-15,98.77127659574468
80100,SPG,2018-12-31,167.99001,-0.09532,51958638.13296001,2.05,2006-12-31,2007-02-12,81.94634634146342,1.88,1.88,1.0,2003-05-15,89.35638829787236
80100,SPG,2019-01-31,182.12,0.084112,56328987.52,2.05,2006-12-31,2007-02-12,88.8390243902439,1.88,1.88,1.0,2003-05-15,96.87234042553192
80100,SPG,2019-02-28,181.16,0.005985,55971555.92,2.05,2006-12-31,2007-02-12,88.37073170731708,1.88,1.88,1.0,2003-05-15,96.36170212765958
80100,SPG,2019-03-29,182.21001,0.005796,56300342.14986,2.05,2006-12-31,2007-02-12,88.88293170731708,1.88,1.88,1.0,2003-05-15,96.9202180851064
80100,SPG,2019-04-30,173.7,-0.046704,55659733.199999996,2.05,2006-12-31,2007-02-12,84.73170731707317,1.88,1.88,1.0,2003-05-15,92.3936170212766
80100,SPG,2019-05-31,162.09,-0.055037,50083540.74,2.05,2006-12-31,2007-02-12,79.06829268292684,1.88,1.88,1.0,2003-05-15,86.21808510638299
80100,SPG,2019-06-28,159.75999,-0.014375,49363600.27014,2.05,2006-12-31,2007-02-12,77.93170243902439,1.88,1.88,1.0,2003-05-15,84.97871808510638
80100,SPG,2019-07-31,162.2,0.015273,51974557.0,2.05,2006-12-31,2007-02-12,79.1219512195122,1.88,1.88,1.0,2003-05-15,86.27659574468085
80100,SPG,2019-08-30,148.94,-0.068804,45875605.16,2.05,2006-12-31,2007-02-12,72.65365853658537,1.88,1.88,1.0,2003-05-15,79.22340425531915
80100,SPG,2019-09-30,155.64999,0.045052,47942376.01986,2.05,2006-12-31,2007-02-12,75.92682439024391,1.88,1.88,1.0,2003-05-15,82.79254787234044
80100,SPG,2019-10-31,150.67999,-0.031931,46237812.41139,2.05,2006-12-31,2007-02-12,73.50243414634147,1.88,1.88,1.0,2003-05-15,80.14893085106384
80100,SPG,2019-11-29,151.21001,0.017454,46400454.87861,2.05,2006-12-31,2007-02-12,73.76098048780489,1.88,1.88,1.0,2003-05-15,80.43085638297873
80100,SPG,2019-12-31,148.96001,-0.01488,45710017.62861,2.05,2006-12-31,2007-02-12,72.66341951219513,1.88,1.88,1.0,2003-05-15,79.23404787234044
80100,SPG,2020-01-31,133.14999,-0.106136,40858539.08139,2.05,2006-12-31,2007-02-12,64.95121463414635,1.88,1.88,1.0,2003-05-15,70.82446276595745
80100,SPG,2020-02-28,123.08,-0.059857,37768451.88,2.05,2006-12-31,2007-02-12,60.03902439024391,1.88,1.88,1.0,2003-05-15,65.46808510638299
80100,SPG,2020-03-31,54.86,-0.554274,16834394.46,2.05,2006-12-31,2007-02-12,26.7609756097561,1.88,1.88,1.0,2003-05-15,29.180851063829788
80100,SPG,2020-04-30,66.77,0.217098,20405846.779999997,2.05,2006-12-31,2007-02-12,32.57073170731707,1.88,1.88,1.0,2003-05-15,35.515957446808514
80100,SPG,2020-05-29,57.7,-0.135839,17641601.900000002,2.05,2006-12-31,2007-02-12,28.14634146341464,1.88,1.88,1.0,2003-05-15,30.691489361702132
80100,SPG,2020-06-30,68.38,0.185095,20906979.86,2.05,2006-12-31,2007-02-12,33.35609756097561,1.88,1.88,1.0,2003-05-15,36.37234042553192
80100,SPG,2020-07-31,62.35,-0.069172,19063325.45,2.05,2006-12-31,2007-02-12,30.414634146341466,1.88,1.88,1.0,2003-05-15,33.16489361702128
80100,SPG,2020-08-31,67.85,0.088212,20754432.95,2.05,2006-12-31,2007-02-12,33.09756097560976,1.88,1.88,1.0,2003-05-15,36.090425531914896
80100,SPG,2020-09-30,64.68,-0.046721,19784771.160000004,2.05,2006-12-31,2007-02-12,31.55121951219513,1.88,1.88,1.0,2003-05-15,34.404255319148945
80100,SPG,2020-10-30,62.81,-0.008813,19212762.470000003,2.05,2006-12-31,2007-02-12,30.639024390243907,1.88,1.88,1.0,2003-05-15,33.40957446808511
80100,SPG,2020-11-30,82.57,0.3146,27093528.959999997,2.05,2006-12-31,2007-02-12,40.27804878048781,1.88,1.88,1.0,2003-05-15,43.920212765957444
80100,SPG,2020-12-31,85.28,0.048565,27982755.84,2.05,2006-12-31,2007-02-12,41.6,1.88,1.88,1.0,2003-05-15,45.361702127659576
80100,SPG,2021-01-29,92.93,0.089705,30492935.040000003,2.05,2006-12-31,2007-02-12,45.331707317073175,1.88,1.88,1.0,2003-05-15,49.43085106382979
80100,SPG,2021-02-26,112.92,0.215108,37093429.56,2.05,2006-12-31,2007-02-12,55.082926829268295,1.88,1.88,1.0,2003-05-15,60.06382978723405
80100,SPG,2021-03-31,113.77,0.007527,37337152.37,2.05,2006-12-31,2007-02-12,55.49756097560976,1.88,1.88,1.0,2003-05-15,60.515957446808514
80100,SPG,2021-04-30,121.74,0.08148,39952754.94,2.05,2006-12-31,2007-02-12,59.38536585365854,1.88,1.88,1.0,2003-05-15,64.75531914893617
80100,SPG,2021-05-28,128.49001,0.055446,42212951.475310005,2.05,2006-12-31,2007-02-12,62.6780536585366,1.88,1.88,1.0,2003-05-15,68.34575000000001
80100,SPG,2021-06-30,130.48,0.015488,42866724.879999995,2.05,2006-12-31,2007-02-12,63.64878048780488,1.88,1.88,1.0,2003-05-15,69.40425531914893
80100,SPG,2021-07-30,126.52,-0.01962,41565742.12,2.05,2006-12-31,2007-02-12,61.71707317073171,1.88,1.88,1.0,2003-05-15,67.29787234042553
80100,SPG,2021-08-31,134.45,0.062678,44181748.949999996,2.05,2006-12-31,2007-02-12,65.58536585365853,1.88,1.88,1.0,2003-05-15,71.51595744680851
80100,SPG,2021-09-30,129.97,-0.022164,42709571.67,2.05,2006-12-31,2007-02-12,63.400000000000006,1.88,1.88,1.0,2003-05-15,69.13297872340426
80100,SPG,2021-10-29,146.58,0.127799,48167800.38,2.05,2006-12-31,2007-02-12,71.50243902439026,1.88,1.88,1.0,2003-05-15,77.96808510638299
80100,SPG,2021-11-30,152.84,0.042707,50224905.24,2.05,2006-12-31,2007-02-12,74.55609756097562,1.88,1.88,1.0,2003-05-15,81.29787234042554
80100,SPG,2021-12-31,159.77,0.056137,52502179.470000006,2.05,2006-12-31,2007-02-12,77.93658536585367,1.88,1.88,1.0,2003-05-15,84.9840425531915
80100,SPG,2022-01-31,147.2,-0.078676,48371539.199999996,2.05,2006-12-31,2007-02-12,71.8048780487805,1.88,1.88,1.0,2003-05-15,78.29787234042553
80100,SPG,2022-02-28,137.56,-0.065489,45200565.28,2.05,2006-12-31,2007-02-12,67.10243902439025,1.88,1.88,1.0,2003-05-15,73.17021276595746
80100,SPG,2022-03-31,131.56,-0.031623,43229037.28,2.05,2006-12-31,2007-02-12,64.17560975609757,1.88,1.88,1.0,2003-05-15,69.97872340425532
80100,SPG,2022-04-29,118.0,-0.103071,38744356.0,2.05,2006-12-31,2007-02-12,57.560975609756106,1.88,1.88,1.0,2003-05-15,62.765957446808514
80100,SPG,2022-05-31,114.65,-0.02839,37678461.35,2.05,2006-12-31,2007-02-12,55.92682926829269,1.88,1.88,1.0,2003-05-15,60.98404255319149
80100,SPG,2022-06-30,94.92,-0.157261,31194413.88,2.05,2006-12-31,2007-02-12,46.302439024390246,1.88,1.88,1.0,2003-05-15,50.48936170212767
80100,SPG,2022-07-29,108.64,0.144543,35703340.96,2.05,2006-12-31,2007-02-12,52.99512195121952,1.88,1.88,1.0,2003-05-15,57.787234042553195
80100,SPG,2022-08-31,101.98,-0.061303,33383356.96,2.05,2006-12-31,2007-02-12,49.74634146341464,1.88,1.88,1.0,2003-05-15,54.24468085106383
80100,SPG,2022-09-30,89.75,-0.102765,29379842.0,2.05,2006-12-31,2007-02-12,43.78048780487805,1.88,1.88,1.0,2003-05-15,47.73936170212766
80100,SPG,2022-10-31,108.98,0.214262,35674820.96,2.05,2006-12-31,2007-02-12,53.16097560975611,1.88,1.88,1.0,2003-05-15,57.968085106382986
80100,SPG,2022-11-30,119.44,0.095981,39050430.24,2.05,2006-12-31,2007-02-12,58.26341463414634,1.88,1.88,1.0,2003-05-15,63.53191489361702
80100,SPG,2022-12-30,117.48,-0.00134,38409616.08,2.05,2006-12-31,2007-02-12,57.307317073170736,1.88,1.88,1.0,2003-05-15,62.48936170212767
80100,SPG,2023-01-31,128.46001,0.093463,41999486.429460004,2.05,2006-12-31,2007-02-12,62.663419512195134,1.88,1.88,1.0,2003-05-15,68.3297925531915
80100,SPG,2023-02-28,122.09,-0.049588,39914029.07,2.05,2006-12-31,2007-02-12,59.556097560975616,1.88,1.88,1.0,2003-05-15,64.94148936170214
80100,SPG,2023-03-31,111.97,-0.068146,36605568.31,2.05,2006-12-31,2007-02-12,54.619512195121956,1.88,1.88,1.0,2003-05-15,59.558510638297875
80100,SPG,2023-04-28,113.32,0.012057,37046914.36,2.05,2006-12-31,2007-02-12,55.27804878048781,1.88,1.88,1.0,2003-05-15,60.276595744680854
80100,SPG,2023-05-31,105.15,-0.072097,34382788.2,2.05,2006-12-31,2007-02-12,51.29268292682927,1.88,1.88,1.0,2003-05-15,55.93085106382979
80100,SPG,2023-06-30,115.48,0.115835,37760574.24,2.05,2006-12-31,2007-02-12,56.331707317073175,1.88,1.88,1.0,2003-05-15,61.425531914893625
80100,SPG,2023-07-31,124.6,0.078975,40742704.8,2.05,2006-12-31,2007-02-12,60.78048780487805,1.88,1.88,1.0,2003-05-15,66.27659574468085
80100,SPG,2023-08-31,113.49,-0.089165,37132906.589999996,2.05,2006-12-31,2007-02-12,55.3609756097561,1.88,1.88,1.0,2003-05-15,60.36702127659574
80100,SPG,2023-09-29,108.03,-0.031368,35346443.73,2.05,2006-12-31,2007-02-12,52.69756097560976,1.88,1.88,1.0,2003-05-15,57.46276595744681
80100,SPG,2023-10-31,109.89,0.017217,35955018.99,2.05,2006-12-31,2007-02-12,53.60487804878049,1.88,1.88,1.0,2003-05-15,58.45212765957447
80100,SPG,2023-11-30,124.89,0.1365,40743988.71,2.05,2006-12-31,2007-02-12,60.9219512195122,1.88,1.88,1.0,2003-05-15,66.43085106382979
80100,SPG,2023-12-29,142.64,0.157338,46534730.95999999,2.05,2006-12-31,2007-02-12,69.58048780487805,1.88,1.88,1.0,2003-05-15,75.87234042553192
85348,YUM,2003-02-28,23.81,0.027179,7036783.59,0.955,2002-12-31,2003-02-10,24.93193717277487,1.0,1.0,13.0,2003-02-20,23.81
85348,YUM,2003-03-31,24.33,0.02184,7127619.4799999995,0.955,2002-12-31,2003-02-10,25.476439790575917,1.0,1.0,13.0,2003-03-20,24.33
85348,YUM,2003-04-30,24.7,0.015208,7236013.2,0.955,2002-12-31,2003-02-10,25.86387434554974,0.99,1.0,13.0,2003-04-17,24.949494949494948
85348,YUM,2003-05-30,27.96,0.131984,8191049.760000001,0.955,2002-12-31,2003-02-10,29.277486910994767,1.0,1.0,13.0,2003-05-15,27.96
85348,YUM,2003-06-30,29.56,0.057225,8659779.36,0.955,2002-12-31,2003-02-10,30.952879581151834,1.0,1.0,14.0,2003-06-19,29.56
85348,YUM,2003-07-31,29.93,0.012517,8784604.65,0.955,2002-12-31,2003-02-10,31.340314136125656,1.0,1.0,13.0,2003-07-17,29.93
85348,YUM,2003-08-29,29.65,-0.009355,8702423.25,0.955,2002-12-31,2003-02-10,31.047120418848166,1.0,1.0,14.0,2003-08-14,29.65
85348,YUM,2003-09-30,29.62,-0.001012,8693618.1,0.955,2002-12-31,2003-02-10,31.015706806282726,1.0,1.0,15.0,2003-09-18,29.62
